CIN,Company Name,Company Status,RoC,Registration Number,Company Category,Company Sub Category,Class of Company,Date of Incorporation,Age of Company,Activity,Number of Members,LLP Identification Number,Main division of business activity to be carried out in India,Description of main division,Number Of Partners,Number of Designated Partners,Unnamed: 0
U55209PN2020PTC195463,SAISADICHHA HOSPITALITY PRIVATE LIMITED,Active,RoC-Pune,195463,Company limited by Shares,Non-govt company,Private,29 October 2020,"1 years, 4 month, 27 days","Restaurants, bars and canteens [ Sales through vending machines is classified in Sub-class 52599]  Click here to see other companies involved in same activity.",-,,,,,,
U74999MH2019PTC329304,SAISAGAR TRANSLOGIS PRIVATE LIMITED,Active,RoC-Mumbai,329304,Company limited by Shares,Non-govt company,Private,14 August 2019,"2 years, 7 month, 11 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U51109WB2007PTC117937,SAISAHARA COMMERCIAL PRIVATE LIMITED,Active,RoC-Kolkata,117937,Company limited by Shares,Non-govt company,Private,21 August 2007,"14 years, 7 month, 4 days","Wholesale on a fee or contract basis. [Includes commission agents, commodity brokers and auctioneers and all other wholesalers who trade on behalf and on the account of others. Activities of self employed auctioneers are included in 74991.]  Click here to see other companies involved in same activity.",-,,,,,,
U51109DL2007PTC361629,SAISAHARA VYAPAAR PRIVATE LIMITED,Active,RoC-Delhi,361629,Company limited by Shares,Non-govt company,Private,15 June 2007,"14 years, 9 month, 10 days","Wholesale on a fee or contract basis. [Includes commission agents, commodity brokers and auctioneers and all other wholesalers who trade on behalf and on the account of others. Activities of self employed auctioneers are included in 74991.]  Click here to see other companies involved in same activity.",-,,,,,,
,SAISAHYADRI SURGICAL LLP,Active,RoC-Mumbai,,,,,17 September 2019,"2 years, 6 month, 8 days",,,AAQ-5606,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","Wholesale trade and commission trade, except of motor vehicles and motorcycles",0,2,
,SAISAKU AGRITECH LLP,Active,RoC-Hyderabad,,,,,05 November 2019,"2 years, 4 month, 20 days",,,AAQ-9674,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","Wholesale trade and commission trade, except of motor vehicles and motorcycles",0,2,
U51909PN2017PLC172504,SAISAMADHAN MARK VENTURES LIMITED,Active,RoC-Pune,172504,Company limited by Shares,Non-govt company,Public,14 September 2017,"4 years, 6 month, 11 days",Other wholesale [Includes specialized wholesale not covered in any one of the previous categories and wholesale in a variety of goods without any particular specialization.]  Click here to see other companies involved in same activity.,-,,,,,,
U15549PN2017PTC172941,SAISAMADHAN PRODUCE VENTURES PRIVATE LIMITED,Active,RoC-Pune,172941,Company limited by Shares,Non-govt company,Private,10 October 2017,"4 years, 5 month, 15 days",Manufacture of beverages  Click here to see other companies involved in same activity.,-,,,,,,
,SAISAMARPAN BUILDERS AND PROMOTERS LLP,Active,RoC-Kanpur,,,,,03 July 2018,"3 years, 8 month, 22 days",,,AAM-9049,Real estate activities,Real estate activities,0,4,
U24299OR2020PTC034477,SAISAMARTH HOSPITAL PRIVATE LIMITED,Active,RoC-Cuttack,34477,Company limited by Shares,Non-govt company,Private,16 October 2020,"1 years, 5 month, 9 days",Manufacture of other chemical products  Click here to see other companies involved in same activity.,-,,,,,,
U65990MH2021PLN363284,SAISAMARTH MULTIPURPOSE NIDHI LIMITED,Active,RoC-Mumbai,363284,Company limited by Shares,Non-govt company,Public,05 July 2021,"0 years, 8 month, 20 days",Other financial intermediation. [This group includes financial intermediation other than that conducted by monetary institutions.]  Click here to see other companies involved in same activity.,-,,,,,,
U50400MH2021PTC354828,SAISAMARTH PETRO PRIVATE LIMITED,Active,RoC-Mumbai,354828,Company limited by Shares,Non-govt company,Private,09 February 2021,"1 years, 1 month, 16 days","Sale, maintenance and repair of motorcycles and related parts and accessories  Click here to see other companies involved in same activity.",-,,,,,,
U52520WB2021PTC247296,SAISAMBHAV MULTITRADE PRIVATE LIMITED,Active,RoC-Kolkata,247296,Company limited by Shares,Non-govt company,Private,18 August 2021,"0 years, 7 month, 7 days",Retail trade not in stores  Click here to see other companies involved in same activity.,-,,,,,,
U15209OR2017PTC026658,SAISAMBHU FOOD PRODUCTS PRIVATE LIMITED,Active,RoC-Cuttack,26658,Company limited by Shares,Non-govt company,Private,06 March 2017,"5 years, 0 month, 19 days",Manufacture of dairy product [production of raw milk is classified in class 0121]  Click here to see other companies involved in same activity.,-,,,,,,
U45309BR2017PTC034475,SAISAMPAN GRIHSHOBHA PRIVATE LIMITED,Active,RoC-Patna,34475,Company limited by Shares,Non-govt company,Private,01 May 2017,"4 years, 10 month, 24 days","Building installation [ These activities are usually performed at the site of construction, although parts of the job may be carried out in a special shop. Repair of installations are also included in the corresponding sub-classes.]  Click here to see other companies involved in same activity.",-,,,,,,
,SAISAMRAT ENGINEERS EKATHAVAA LLP,Active,RoC-Hyderabad,,,,,04 January 2021,"1 years, 2 month, 21 days",,,AAV-3357,Real estate activities,Real estate activities,0,2,
U01110PN2018PTC180423,SAISAMRAT INDIA FARMER PRODUCER COMPANY LIMITED,Active,RoC-Pune,180423,Company limited by Shares,Non-govt company,Private,28 November 2018,"3 years, 3 month, 27 days",Growing of crops; market gardening; horticulture  Click here to see other companies involved in same activity.,-,,,,,,
U65999PN2019PLC182177,SAISAMRAT URBAN MULTIPURPOSE NIDHI LIMITED,Active,RoC-Pune,182177,Company limited by Shares,Non-govt company,Public,13 February 2019,"3 years, 1 month, 12 days",Other financial intermediation. [This group includes financial intermediation other than that conducted by monetary institutions.]  Click here to see other companies involved in same activity.,-,,,,,,
U65923UP2014PLC066078,SAISAMRIDDHI INDIA NIDHI LIMITED,Active,RoC-Kanpur,66078,Company limited by Shares,Non-govt company,Public,15 September 2014,"7 years, 6 month, 10 days",Other financial intermediation. [This group includes financial intermediation other than that conducted by monetary institutions.]  Click here to see other companies involved in same activity.,-,,,,,,
U01100MH2020PTC346506,SAISAMRUDHI AGRO FOODS PRODUCER COMPANY LIMITED,Active,RoC-Mumbai,346506,Company limited by Shares,Non-govt company,Private,22 September 2020,"1 years, 6 month, 3 days",Growing of crops; market gardening; horticulture  Click here to see other companies involved in same activity.,-,,,,,,
U50400OR2019PTC030994,SAISANATAN AUTOMOBILES PRIVATE LIMITED,Active,RoC-Cuttack,30994,Company limited by Shares,Non-govt company,Private,14 May 2019,"2 years, 10 month, 11 days","Sale, maintenance and repair of motorcycles and related parts and accessories  Click here to see other companies involved in same activity.",-,,,,,,
U85191UP2012PTC050496,SAISANJEEVANI MEDICAL CENTRE PRIVATE LIMITED,Active,RoC-Kanpur,50496,Company limited by Shares,Non-govt company,Private,15 May 2012,"9 years, 10 month, 10 days",Human health activities  Click here to see other companies involved in same activity.,-,,,,,,
U01400PN2020PTC193701,SAISANJIVANI FARMERS PRODUCER COMPANY LIMITED,Active,RoC-Pune,193701,Company limited by Shares,Non-govt company,Private,05 September 2020,"1 years, 6 month, 20 days","Agricultural and animal husbandry service activities, except veterinary activities.[This class includes specialized activities, on a fee or contract basis, mostly performed on the farm.]  Click here to see other companies involved in same activity.",-,,,,,,
,SAISANKALP BUILDERS AND DEVELOPERS LLP,Active,RoC-Mumbai,,,,,14 September 2021,"0 years, 6 month, 11 days",,,AAY-5967,Construction,Construction,0,2,
U74120AP2015PTC097591,SAISANKAR TECHNOLOGY SOLUTION PRIVATE LIMITED,Active,RoC-Vijayawada,97591,Company limited by Shares,Non-govt company,Private,20 October 2015,"6 years, 5 month, 5 days","Legal, accounting, book-keeping and auditing activities; tax consultancy; market research and public opinion polling; business and management consultancy  Click here to see other companies involved in same activity.",-,,,,,,
U74999MH2013PTC249205,SAISANKET AUTOMATION PRIVATE LIMITED,Active,RoC-Mumbai,249205,Company limited by Shares,Non-govt company,Private,14 October 2013,"8 years, 5 month, 11 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U74999MH2019PTC323870,SAISANKET INDUSTRIES PRIVATE LIMITED,Active,RoC-Mumbai,323870,Company limited by Shares,Non-govt company,Private,09 April 2019,"2 years, 11 month, 16 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U45309PN2019PTC184672,SAISANTNATH ENGINEERING PRIVATE LIMITED,Active,RoC-Pune,184672,Company limited by Shares,Non-govt company,Private,10 June 2019,"2 years, 9 month, 15 days","Building installation [ These activities are usually performed at the site of construction, although parts of the job may be carried out in a special shop. Repair of installations are also included in the corresponding sub-classes.]  Click here to see other companies involved in same activity.",-,,,,,,
,SAISANWARIA ESTATES LLP,Active,RoC-Kolkata,,,,,12 August 2020,"1 years, 7 month, 13 days",,,AAT-3184,Real estate activities,Real estate activities,0,2,
U65929MH2020PLN345100,SAISARASWATIKRUPA NIDHI LIMITED,Active,RoC-Mumbai,345100,Company limited by Shares,Non-govt company,Public,02 September 2020,"1 years, 6 month, 23 days",Other financial intermediation. [This group includes financial intermediation other than that conducted by monetary institutions.]  Click here to see other companies involved in same activity.,-,,,,,,
U65991TN1994PLC026538,SAISARATHY BENEFIT FUND LIMITED,Active,RoC-Chennai,26538,Company limited by Shares,Non-govt company,Public,12 January 1994,"28 years, 2 month, 13 days",Other financial intermediation. [This group includes financial intermediation other than that conducted by monetary institutions.]  Click here to see other companies involved in same activity.,-,,,,,,
U65999MH2019PLC323573,SAISARTH URBAN NIDHI LIMITED,Active,RoC-Mumbai,323573,Company limited by Shares,Non-govt company,Public,02 April 2019,"2 years, 11 month, 23 days",Other financial intermediation. [This group includes financial intermediation other than that conducted by monetary institutions.]  Click here to see other companies involved in same activity.,-,,,,,,
U70109OR2018PTC028914,SAISATAPATHY ESTATES PRIVATE LIMITED,Active,RoC-Cuttack,28914,Company limited by Shares,Non-govt company,Private,23 May 2018,"3 years, 10 month, 2 days","Real estate activities with own or leased property. [This class includes buying, selling, renting and operating of self-owned or leased real estate such as apartment building and dwellings, non-residential buildings, developing and subdividing real estate into lots etc. Also included are development and sale of land and cemetery lots, operating of apartment hotels and residential mobile home sites.(Development on own account involving construction is classified in class 4520).]  Click here to see other companies involved in same activity.",-,,,,,,
,SAISATH LANDCRAFT LLP,Active,RoC-Kanpur,,,,,05 September 2014,"7 years, 6 month, 20 days",,,AAC-6758,Construction,Construction,0,2,
,SAISATWIK EDUCATION SOLUTIONS LLP,Active,RoC-Kanpur,,,,,12 December 2019,"2 years, 3 month, 13 days",,,AAR-2955,Education,Education,0,2,
U70109PB2012PTC036185,SAISATYAM LAND PROMOTERS & DEVELOPERS PRIVATE LIMITED,Active,RoC-Chandigarh,36185,Company limited by Shares,Non-govt company,Private,27 April 2012,"9 years, 10 month, 28 days","Real estate activities with own or leased property. [This class includes buying, selling, renting and operating of self-owned or leased real estate such as apartment building and dwellings, non-residential buildings, developing and subdividing real estate into lots etc. Also included are development and sale of land and cemetery lots, operating of apartment hotels and residential mobile home sites.(Development on own account involving construction is classified in class 4520).]  Click here to see other companies involved in same activity.",-,,,,,,
U93090MH2018PTC314360,SAISAY HOSPITALITY & MANAGEMENT PRIVATE LIMITED,Active,RoC-Mumbai,314360,Company limited by Shares,Non-govt company,Private,20 September 2018,"3 years, 6 month, 5 days",Other service activities  Click here to see other companies involved in same activity.,-,,,,,,
U74990MH2012PTC226889,SAISEA CONTAINER LINES PRIVATE LIMITED,Active,RoC-Mumbai,226889,Company limited by Shares,Non-govt company,Private,14 February 2012,"10 years, 1 month, 11 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U73100PN2011PTC138178,SAISEVA BIOTECH PRIVATE LIMITED,Active,RoC-Pune,138178,Company limited by Shares,Non-govt company,Private,05 January 2011,"11 years, 2 month, 20 days","Research and experimental development on natural sciences and engineering (NSE). [This class includes systematic creative work in the fields of research and development in natural sciences, medical sciences, agriculture and engineering & technology].  Click here to see other companies involved in same activity.",-,,,,,,
U01100MH2021PTC367158,SAISEVA KRUSHI MITRA PRODUCER COMPANY LIMITED,Active,RoC-Mumbai,367158,Company limited by Shares,Non-govt company,Private,08 September 2021,"0 years, 6 month, 17 days",Growing of crops; market gardening; horticulture  Click here to see other companies involved in same activity.,-,,,,,,
U74999MH2017PTC303145,SAISH EMPIRE PRIVATE LIMITED,Active,RoC-Mumbai,303145,Company limited by Shares,Non-govt company,Private,20 December 2017,"4 years, 3 month, 5 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U55101MH1996PTC103201,SAISH HOTEL PRIVATE LIMITED,Active,RoC-Pune,103201,Company limited by Shares,Non-govt company,Private,10 October 1996,"25 years, 5 month, 15 days",Hotels; camping sites and other provision of short-stay accommodation [ Restaurant facilities operated in connection with the provision of lodging remain classified in this group. Also included are the operation of sleeping cars when carried on by separate units]  Click here to see other companies involved in same activity.,-,,,,,,
,SAISH MEDICAL SOLUTIONS LLP,Active,RoC-Kolkata,,,,,17 June 2016,"5 years, 9 month, 8 days",,,AAG-6999,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","Wholesale trade and commission trade, except of motor vehicles and motorcycles",0,2,
,SAISH SAMRUDDHEE AGRO INDUSTRIES LLP,Active,RoC-Pune,,,,,01 December 2020,"1 years, 3 month, 24 days",,,AAU-8803,"Activities Agriculture, Hunting and related Service activities","Activities Agriculture, Hunting and related Service activities",0,2,
,SAISH TECHSERVE LLP,Active,RoC-Mumbai,,,,,25 August 2015,"6 years, 7 month, 0 days",,,AAE-6309,Computer and related activities,Computer and related activities,0,2,
U18101DL2004PTC131137,SAISHA APPARRELS PRIVATE LIMITED,Active,RoC-Delhi,131137,Company limited by Shares,Non-govt company,Private,09 December 2004,"17 years, 3 month, 16 days","Manufacture of wearing apparel, except fur apparel [this class includes manufacture of wearing apparel made of material not made in the same unit. Both regular and contract activities are included]  Click here to see other companies involved in same activity.",-,,,,,,
U50400RJ2021PTC073306,SAISHA AUTO PRIVATE LIMITED,Active,RoC-Jaipur,73306,Company limited by Shares,Non-govt company,Private,05 February 2021,"1 years, 1 month, 20 days","Sale, maintenance and repair of motorcycles and related parts and accessories  Click here to see other companies involved in same activity.",-,,,,,,
,SAISHA FOODS AND BEVERAGES LLP,Active,RoC-Mumbai,,,,,27 July 2017,"4 years, 7 month, 29 days",,,AAK-1547,Other Service activities,Other Service activities,0,2,
U15400MH2021PTC353642,SAISHA INDUSTRIES PRIVATE LIMITED,Active,RoC-Mumbai,353642,Company limited by Shares,Non-govt company,Private,18 January 2021,"1 years, 2 month, 7 days",Manufacture of other food products  Click here to see other companies involved in same activity.,-,,,,,,
U72900PN2014PTC150098,SAISHA INFOTECH PRIVATE LIMITED,Active,RoC-Pune,150098,Company limited by Shares,Non-govt company,Private,08 January 2014,"8 years, 2 month, 17 days",Other computer related activities [for example maintenance of websites of other firms/ creation of multimedia presentations for other firms etc.]  Click here to see other companies involved in same activity.,-,,,,,,
U70109DL2021PTC386374,SAISHA INFRATECH PRIVATE LIMITED,Active,RoC-Delhi,386374,Company limited by Shares,Non-govt company,Private,10 September 2021,"0 years, 6 month, 15 days","Real estate activities with own or leased property. [This class includes buying, selling, renting and operating of self-owned or leased real estate such as apartment building and dwellings, non-residential buildings, developing and subdividing real estate into lots etc. Also included are development and sale of land and cemetery lots, operating of apartment hotels and residential mobile home sites.(Development on own account involving construction is classified in class 4520).]  Click here to see other companies involved in same activity.",-,,,,,,
U51109DL2007PTC160802,SAISHA INSTYLE PRIVATE LIMITED,Active,RoC-Delhi,160802,Company limited by Shares,Non-govt company,Private,20 March 2007,"15 years, 0 month, 5 days","Wholesale on a fee or contract basis. [Includes commission agents, commodity brokers and auctioneers and all other wholesalers who trade on behalf and on the account of others. Activities of self employed auctioneers are included in 74991.]  Click here to see other companies involved in same activity.",-,,,,,,
U74999UP2017PTC090416,SAISHA IT ADVISORY PRIVATE LIMITED,Active,RoC-Kanpur,90416,Company limited by Shares,Non-govt company,Private,14 February 2017,"5 years, 1 month, 11 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U55209DL2019PTC351004,SAISHA MULTICUISINE PRIVATE LIMITED,Active,RoC-Delhi,351004,Company limited by Shares,Non-govt company,Private,06 June 2019,"2 years, 9 month, 19 days","Restaurants, bars and canteens [ Sales through vending machines is classified in Sub-class 52599]  Click here to see other companies involved in same activity.",-,,,,,,
,SAISHA NATURAL RESOURCES LLP,Active,RoC-Mumbai,,,,,03 August 2015,"6 years, 7 month, 22 days",,,AAE-4932,"Manufacture of coke, refined petroleum products and nuclear fuel","Manufacture of coke, refined petroleum products and nuclear fuel",0,2,
,SAISHA OSR REAL ESTATE LLP,Active,RoC-Mumbai,,,,,04 October 2019,"2 years, 5 month, 21 days",,,AAQ-7310,Construction,Construction,0,2,
U70109DL2011PTC227599,SAISHA REALTECH PRIVATE LIMITED,Active,RoC-Delhi,227599,Company limited by Shares,Non-govt company,Private,17 November 2011,"10 years, 4 month, 8 days","Real estate activities with own or leased property. [This class includes buying, selling, renting and operating of self-owned or leased real estate such as apartment building and dwellings, non-residential buildings, developing and subdividing real estate into lots etc. Also included are development and sale of land and cemetery lots, operating of apartment hotels and residential mobile home sites.(Development on own account involving construction is classified in class 4520).]  Click here to see other companies involved in same activity.",-,,,,,,
U28990PB2021PTC053792,SAISHA SEAMLESS TUBES PRIVATE LIMITED,Active,RoC-Chandigarh,53792,Company limited by Shares,Non-govt company,Private,09 July 2021,"0 years, 8 month, 16 days",Manufacture of other fabricated metal products; metal working service activities  Click here to see other companies involved in same activity.,-,,,,,,
,SAISHAA SERVICES LLP,Active,RoC-Delhi,,,,,04 January 2017,"5 years, 2 month, 21 days",,,AAI-1725,Other Business Activities,Other Business Activities,0,2,
U45400UP2012PTC048583,SAISHAKTI COLONISERS & HOMEBUILDERS PRIVATE LIMITED,Active,RoC-Kanpur,48583,Company limited by Shares,Non-govt company,Private,27 January 2012,"10 years, 1 month, 29 days",Building completion [ Includes activities that contribute to the completion or finishing of a construction. Repairs of the same type are also included in the corresponding sub-classes]  Click here to see other companies involved in same activity.,-,,,,,,
U74999MH2020PTC346317,SAISHAKTI EVOLUTIONARY DESIGNS PRIVATE LIMITED,Active,RoC-Mumbai,346317,Company limited by Shares,Non-govt company,Private,19 September 2020,"1 years, 6 month, 6 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U45200MP2007PTC019271,SAISHAKTI REALTIES PRIVATE LIMITED,Active,RoC-Gwalior,19271,Company limited by Shares,Non-govt company,Private,08 February 2007,"15 years, 1 month, 17 days",Building of complete constructions or parts thereof; civil engineering  Click here to see other companies involved in same activity.,-,,,,,,
U05000OR2020PTC032580,SAISHANKAR SEA FOODS PRIVATE LIMITED,Active,RoC-Cuttack,32580,Company limited by Shares,Non-govt company,Private,28 January 2020,"2 years, 1 month, 28 days","Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing  Click here to see other companies involved in same activity.",-,,,,,,
U45201MH2020PTC347879,SAISHEEL INFRA PRIVATE LIMITED,Active,RoC-Mumbai,347879,Company limited by Shares,Non-govt company,Private,14 October 2020,"1 years, 5 month, 11 days",Building of complete constructions or parts thereof; civil engineering  Click here to see other companies involved in same activity.,-,,,,,,
U74120MH2013PTC242316,SAISHELTER INDUSTRIES PRIVATE LIMITED,Active,RoC-Mumbai,242316,Company limited by Shares,Non-govt company,Private,23 April 2013,"8 years, 11 month, 2 days","Legal, accounting, book-keeping and auditing activities; tax consultancy; market research and public opinion polling; business and management consultancy  Click here to see other companies involved in same activity.",-,,,,,,
U45400TG2020PTC138289,SAISHIRIDI CONSTRUCTIONS PRIVATE LIMITED,Active,RoC-Hyderabad,138289,Company limited by Shares,Non-govt company,Private,08 January 2020,"2 years, 2 month, 17 days",Building completion [ Includes activities that contribute to the completion or finishing of a construction. Repairs of the same type are also included in the corresponding sub-classes]  Click here to see other companies involved in same activity.,-,,,,,,
U25206GA2000PTC002784,SAISHIV BOARDS AND TOPS PRIVATE LIMITED,Active,RoC-Goa,2784,Company limited by Shares,Non-govt company,Private,05 January 2000,"22 years, 2 month, 20 days",Manufacture of plastic products  Click here to see other companies involved in same activity.,-,,,,,,
U74999PN2017PTC172185,SAISHIVAY AUTOCOMP SYSTEMS PRIVATE LIMITED,Active,RoC-Pune,172185,Company limited by Shares,Non-govt company,Private,23 August 2017,"4 years, 7 month, 2 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U51909UP2021PTC141293,SAISHO ELECTRONICS PRIVATE LIMITED,Active,RoC-Kanpur,141293,Company limited by Shares,Non-govt company,Private,04 February 2021,"1 years, 1 month, 21 days",Other wholesale [Includes specialized wholesale not covered in any one of the previous categories and wholesale in a variety of goods without any particular specialization.]  Click here to see other companies involved in same activity.,-,,,,,,
U65920MH1994PLC076070,SAISHRADDHA HOUSING FINANCE AND INVESTMENT (INDIA) LIMITED,Active,RoC-Mumbai,76070,Company limited by Shares,Non-govt company,Public,14 January 1994,"28 years, 2 month, 11 days",Other financial intermediation. [This group includes financial intermediation other than that conducted by monetary institutions.]  Click here to see other companies involved in same activity.,-,,,,,,
U45203MH2012PTC229928,SAISHREE BUILDERS AND DEVELOPERS PRIVATE LIMITED,Active,RoC-Mumbai,229928,Company limited by Shares,Non-govt company,Private,19 April 2012,"9 years, 11 month, 6 days",Building of complete constructions or parts thereof; civil engineering  Click here to see other companies involved in same activity.,-,,,,,,
,SAISHREE CIVIL PROJECT LLP,Active,RoC-Pune,,,,,02 November 2020,"1 years, 4 month, 23 days",,,AAU-5053,Construction,Construction,0,4,
U45200MH1997PTC111569,SAISHREE CONSTRUCTIONS PRIVATE LIMITED,Active,RoC-Mumbai,111569,Company limited by Shares,Non-govt company,Private,27 October 1997,"24 years, 4 month, 29 days",Building of complete constructions or parts thereof; civil engineering  Click here to see other companies involved in same activity.,-,,,,,,
U93000BR2013PTC021134,SAISHREE MANPOWER SERVICES & MARKETING PRIVATE LIMITED,Active,RoC-Patna,21134,Company limited by Shares,Non-govt company,Private,17 September 2013,"8 years, 6 month, 8 days",Other service activities  Click here to see other companies involved in same activity.,-,,,,,,
U70109UP2011PTC044270,SAISHREE REALTECH PRIVATE LIMITED,Active,RoC-Kanpur,44270,Company limited by Shares,Non-govt company,Private,06 April 2011,"10 years, 11 month, 19 days","Real estate activities with own or leased property. [This class includes buying, selling, renting and operating of self-owned or leased real estate such as apartment building and dwellings, non-residential buildings, developing and subdividing real estate into lots etc. Also included are development and sale of land and cemetery lots, operating of apartment hotels and residential mobile home sites.(Development on own account involving construction is classified in class 4520).]  Click here to see other companies involved in same activity.",-,,,,,,
U29150MH1974PTC017431,SAISHREEINIVASAN AUTO PRIVATE LIMITED,Active,RoC-Pune,17431,Company limited by Shares,Non-govt company,Private,26 April 1974,"47 years, 10 month, 29 days",Manufacture of general purpose machinery  Click here to see other companies involved in same activity.,-,,,,,,
U29299PN2021PTC203559,SAISHREYANSH INDUSTRIES PRIVATE LIMITED,Active,RoC-Pune,203559,Company limited by Shares,Non-govt company,Private,19 August 2021,"0 years, 7 month, 6 days",Manufacture of special purpose machinery  Click here to see other companies involved in same activity.,-,,,,,,
U01100MH2021PTC365658,SAISHRI AGRO PRODUCER COMPANY LIMITED,Active,RoC-Mumbai,365658,Company limited by Shares,Non-govt company,Private,10 August 2021,"0 years, 7 month, 15 days",Growing of crops; market gardening; horticulture  Click here to see other companies involved in same activity.,-,,,,,,
U63022UP2015PTC071056,SAISHRIDHA COLD STORAGE PRIVATE LIMITED,Active,RoC-Kanpur,71056,Company limited by Shares,Non-govt company,Private,29 May 2015,"6 years, 9 month, 27 days",Supporting and auxiliary transport activities; activities of travel agencies  Click here to see other companies involved in same activity.,-,,,,,,
U74999UP2018PTC108600,SAISHRISTI CINE PRODUCTION PRIVATE LIMITED,Active,RoC-Kanpur,108600,Company limited by Shares,Non-govt company,Private,28 September 2018,"3 years, 5 month, 27 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U29309PN2020PTC194991,SAISHRUTI INDUSTRIES PRIVATE LIMITED,Active,RoC-Pune,194991,Company limited by Shares,Non-govt company,Private,14 October 2020,"1 years, 5 month, 11 days","Manufacture of domestic appliances, n.e.c.  Click here to see other companies involved in same activity.",-,,,,,,
U15412UP2020PTC130001,SAISHYAM AGROFOOD PRODUCTS PRIVATE LIMITED,Active,RoC-Kanpur,130001,Company limited by Shares,Non-govt company,Private,27 June 2020,"1 years, 8 month, 28 days",Manufacture of other food products  Click here to see other companies involved in same activity.,-,,,,,,
U74994DL1989PTC037688,SAISHYAM INDUSTRIES PRIVATE LIMITED,Active,RoC-Delhi,37688,Company limited by Shares,Non-govt company,Private,13 September 1989,"32 years, 6 month, 12 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U45209UP2020PTC139503,SAISHYAM INFRABUILD PRIVATE LIMITED,Active,RoC-Kanpur,139503,Company limited by Shares,Non-govt company,Private,21 December 2020,"1 years, 3 month, 4 days",Building of complete constructions or parts thereof; civil engineering  Click here to see other companies involved in same activity.,-,,,,,,
U51909WB2012PTC182625,SAISHYAM STONES AND TILES PRIVATE LIMITED,Active,RoC-Kolkata,182625,Company limited by Shares,Non-govt company,Private,13 June 2012,"9 years, 9 month, 12 days",Other wholesale [Includes specialized wholesale not covered in any one of the previous categories and wholesale in a variety of goods without any particular specialization.]  Click here to see other companies involved in same activity.,-,,,,,,
U74999MH2021PTC358988,SAISIDDHI ENGINEERS & SURVEYORS PRIVATE LIMITED,Active,RoC-Mumbai,358988,Company limited by Shares,Non-govt company,Private,15 April 2021,"0 years, 11 month, 10 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U51102MH2002PTC138387,SAISIDDI CHEMICALS TRADING PRIVATE LIMITED,Active,RoC-Mumbai,138387,Company limited by Shares,Non-govt company,Private,24 December 2002,"19 years, 3 month, 1 days","Wholesale on a fee or contract basis. [Includes commission agents, commodity brokers and auctioneers and all other wholesalers who trade on behalf and on the account of others. Activities of self employed auctioneers are included in 74991.]  Click here to see other companies involved in same activity.",-,,,,,,
U29254PN1991PTC061899,SAISIDHA SUGAR EQUIPMENTS AND ENGINEERING COMPANY PRIVATE LIMITED,Active,RoC-Pune,61899,Company limited by Shares,Non-govt company,Private,30 May 1991,"30 years, 9 month, 26 days",Manufacture of special purpose machinery  Click here to see other companies involved in same activity.,-,,,,,,
U52609WB2019PTC234911,SAISINCHEL IMPORT AND EXPORT PRIVATE LIMITED,Active,RoC-Kolkata,234911,Company limited by Shares,Non-govt company,Private,22 November 2019,"2 years, 4 month, 3 days",Repair of personal and household goods [Includes repair of personal and household goods when not done in combination with manufacture or wholesale or retail sale of these goods]  Click here to see other companies involved in same activity.,-,,,,,,
U52190PB2019PTC049744,SAISIR GLOBAL TECHNOLOGIES PRIVATE LIMITED,Active,RoC-Chandigarh,49744,Company limited by Shares,Non-govt company,Private,12 July 2019,"2 years, 8 month, 13 days",Non-specialized retail trade in stores  Click here to see other companies involved in same activity.,-,,,,,,
U70109KA2019PTC127037,SAISKANDHA INFRATECH PRIVATE LIMITED,Active,RoC-Bangalore,127037,Company limited by Shares,Non-govt company,Private,14 August 2019,"2 years, 7 month, 11 days","Real estate activities with own or leased property. [This class includes buying, selling, renting and operating of self-owned or leased real estate such as apartment building and dwellings, non-residential buildings, developing and subdividing real estate into lots etc. Also included are development and sale of land and cemetery lots, operating of apartment hotels and residential mobile home sites.(Development on own account involving construction is classified in class 4520).]  Click here to see other companies involved in same activity.",-,,,,,,
U63023MH2020PTC342275,SAISKY WAREHOUSING & LOGISTICS PRIVATE LIMITED,Active,RoC-Mumbai,342275,Company limited by Shares,Non-govt company,Private,20 July 2020,"1 years, 8 month, 5 days",Supporting and auxiliary transport activities; activities of travel agencies  Click here to see other companies involved in same activity.,-,,,,,,
