CIN,Company Name,Company Status,RoC,Registration Number,Company Category,Company Sub Category,Class of Company,Date of Incorporation,Age of Company,Activity,Number of Members,LLP Identification Number,Main division of business activity to be carried out in India,Description of main division,Number Of Partners,Number of Designated Partners,Unnamed: 0
U51219KL2003PTC016561,SAJ TRADING INDIA PRIVATE LIMITED,Active,RoC-Ernakulam,16561,Company limited by Shares,Non-govt company,Private,22 October 2003,"18 years, 5 month, 3 days","Wholesale of agricultural raw material, live animals, food beverages and tobacco  Click here to see other companies involved in same activity.",-,,,,,,
U29197PN2011PTC141521,SAJ WATER TREAT INDIA PRIVATE LIMITED,Active,RoC-Pune,141521,Company limited by Shares,Non-govt company,Private,01 December 2011,"10 years, 3 month, 24 days",Manufacture of general purpose machinery  Click here to see other companies involved in same activity.,-,,,,,,
U45309JK2018PTC010540,SAJA INFRACON PRIVATE LIMITED,Active,RoC-Jammu,10540,Company limited by Shares,Non-govt company,Private,10 July 2018,"3 years, 8 month, 15 days","Building installation [ These activities are usually performed at the site of construction, although parts of the job may be carried out in a special shop. Repair of installations are also included in the corresponding sub-classes.]  Click here to see other companies involved in same activity.",-,,,,,,
U24100MH1996PTC097500,SAJA ORGANICS PRIVATE LIMITED,Active,RoC-Mumbai,97500,Company limited by Shares,Non-govt company,Private,20 February 1996,"26 years, 1 month, 5 days",Manufacture of basic chemicals  Click here to see other companies involved in same activity.,-,,,,,,
U74899DL2005PTC144012,SAJAG LAMTEX PVT LTD,Active,RoC-Delhi,144012,Company limited by Shares,Non-govt company,Private,23 December 2005,"16 years, 3 month, 2 days",OTHER BUSINESS ACTIVITIES  Click here to see other companies involved in same activity.,-,,,,,,
U01403PN2015PTC156508,SAJAG SHETKARI PRODUCER COMPANY LIMITED,Active,RoC-Pune,156508,Company limited by Shares,Non-govt company,Private,16 September 2015,"6 years, 6 month, 9 days","Agricultural and animal husbandry service activities, except veterinary activities.[This class includes specialized activities, on a fee or contract basis, mostly performed on the farm.]  Click here to see other companies involved in same activity.",-,,,,,,
U74900PN2009PTC134265,SAJAG VALUERS PRIVATE LIMITED,Active,RoC-Pune,134265,Company limited by Shares,Non-govt company,Private,07 July 2009,"12 years, 8 month, 18 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U51909WB1987PTC043540,SAJAGO TRADE PVT LTD,Active,RoC-Kolkata,43540,Company limited by Shares,Non-govt company,Private,28 December 1987,"34 years, 2 month, 28 days",Other wholesale [Includes specialized wholesale not covered in any one of the previous categories and wholesale in a variety of goods without any particular specialization.]  Click here to see other companies involved in same activity.,-,,,,,,
U45400WB2010PTC148778,SAJAHAN CONSTRUCTION PRIVATE LIMITED,Active,RoC-Kolkata,148778,Company limited by Shares,Non-govt company,Private,20 May 2010,"11 years, 10 month, 5 days",Building completion [ Includes activities that contribute to the completion or finishing of a construction. Repairs of the same type are also included in the corresponding sub-classes]  Click here to see other companies involved in same activity.,-,,,,,,
U45400WB2014PTC200099,SAJAHAN REALCON PRIVATE LIMITED,Active,RoC-Kolkata,200099,Company limited by Shares,Non-govt company,Private,10 February 2014,"8 years, 1 month, 15 days",Building completion [ Includes activities that contribute to the completion or finishing of a construction. Repairs of the same type are also included in the corresponding sub-classes]  Click here to see other companies involved in same activity.,-,,,,,,
U74999DL2018PTC341974,SAJAIN TRADING PRIVATE LIMITED,Active,RoC-Delhi,341974,Company limited by Shares,Non-govt company,Private,20 November 2018,"3 years, 4 month, 5 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U01400MP2019PTC047827,SAJAIVICO INDIA PRIVATE LIMITED,Active,RoC-Gwalior,47827,Company limited by Shares,Non-govt company,Private,15 February 2019,"3 years, 1 month, 10 days","Agricultural and animal husbandry service activities, except veterinary activities.[This class includes specialized activities, on a fee or contract basis, mostly performed on the farm.]  Click here to see other companies involved in same activity.",-,,,,,,
U74999MP2020PTC051134,SAJAK BUSINESS CONSULTANT PRIVATE LIMITED,Active,RoC-Gwalior,51134,Company limited by Shares,Non-govt company,Private,06 March 2020,"2 years, 0 month, 19 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U74999MH2019PTC323891,SAJAK EASY FINANCE PRIVATE LIMITED,Active,RoC-Mumbai,323891,Company limited by Shares,Non-govt company,Private,09 April 2019,"2 years, 11 month, 16 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U65990WB2019PTC231141,SAJAK FINSOLUTION PRIVATE LIMITED,Active,RoC-Kolkata,231141,Company limited by Shares,Non-govt company,Private,28 March 2019,"2 years, 11 month, 28 days",Other financial intermediation. [This group includes financial intermediation other than that conducted by monetary institutions.]  Click here to see other companies involved in same activity.,-,,,,,,
U70101WB1993PTC059813,SAJAL BUILDERS PVT LTD,Active,RoC-Kolkata,59813,Company limited by Shares,Non-govt company,Private,19 August 1993,"28 years, 7 month, 6 days","Real estate activities with own or leased property. [This class includes buying, selling, renting and operating of self-owned or leased real estate such as apartment building and dwellings, non-residential buildings, developing and subdividing real estate into lots etc. Also included are development and sale of land and cemetery lots, operating of apartment hotels and residential mobile home sites.(Development on own account involving construction is classified in class 4520).]  Click here to see other companies involved in same activity.",-,,,,,,
U55209RJ2020PTC070806,SAJAL INFRAPROJECTS PRIVATE LIMITED,Active,RoC-Jaipur,70806,Company limited by Shares,Non-govt company,Private,04 September 2020,"1 years, 6 month, 21 days","Restaurants, bars and canteens [ Sales through vending machines is classified in Sub-class 52599]  Click here to see other companies involved in same activity.",-,,,,,,
,SAJAL INFRASTRUCTURE & SECURITIES LLP,Active,RoC-Delhi,,,,,29 August 2016,"5 years, 6 month, 27 days",,,AAH-2413,Real estate activities,Real estate activities,0,2,
U63090PN2018PTC174090,SAJAL LOGISTICS PRIVATE LIMITED,Active,RoC-Pune,174090,Company limited by Shares,Non-govt company,Private,01 January 2018,"4 years, 2 month, 24 days",Supporting and auxiliary transport activities; activities of travel agencies  Click here to see other companies involved in same activity.,-,,,,,,
